timestamp,ch1,ch2,ch3
1757563254.64199,0.0,0.0,0.0
1757563254.6480298,0.0,0.0,0.0
1757563254.661031,0.0,0.0,0.0
1757563254.6863678,0.0,0.0,0.0
1757563254.693987,0.0,0.0,0.0
1757563254.7039888,0.0,0.0,0.0
1757563254.729715,0.0,0.0,0.0
1757563254.7457156,0.0,0.0,0.0
1757563254.7516828,0.0,0.0,0.0
1757563254.7787178,0.0,0.0,0.0
1757563254.7870357,0.0,0.0,0.0
1757563254.8117156,0.0,0.0,0.0
1757563254.8219857,0.0,0.0,0.0
1757563254.8331027,0.0,0.0,0.0
1757563254.864852,0.0,0.0,0.0
1757563254.88016,0.0,0.0,0.0
1757563254.8972,0.0,0.0,0.0
1757563254.912508,0.0,0.0,0.0
1757563254.9285488,0.0,0.0,0.0
1757563254.9438622,0.0,0.0,0.0
1757563254.9915926,0.0,0.0,0.0
1757563255.0382602,0.0,0.0,0.0
1757563255.0844438,0.0,0.0,0.0
1757563255.116068,0.0,0.0,0.0
1757563255.1300585,0.0,0.0,0.0
1757563255.145906,0.0,0.0,0.0
1757563255.1618938,0.0,0.0,0.0
1757563255.1773145,0.0,0.0,0.0
1757563255.1926296,0.0,0.0,0.0
1757563255.2093623,0.0,0.0,0.0
1757563255.2246337,0.0,0.0,0.0
1757563255.2413514,0.0,0.0,0.0
1757563255.2560077,0.0,0.0,0.0
1757563255.2718213,0.0,0.0,0.0
1757563255.287136,0.0,0.0,0.0
1757563255.3035958,0.0,0.0,0.0
1757563255.3188798,0.0,0.0,0.0
1757563255.335569,0.0,0.0,0.0
1757563255.3508663,0.0,0.0,0.107
1757563255.3677065,0.0,0.0,0.206
1757563255.382022,0.0,0.0,0.182
1757563255.398707,0.0,0.0,0.0
1757563255.4139807,0.0,0.0,0.0
1757563255.4307554,0.0,0.0,0.0
1757563255.4452612,0.0,0.0,0.0
1757563255.4620724,0.0,0.0,0.0
1757563255.476682,0.0,0.0,0.0
1757563255.4934814,0.0,0.0,0.0
1757563255.508636,0.0,0.0,0.0
1757563255.5250432,0.0,0.0,0.0
1757563255.539259,0.0,0.0,0.0
1757563255.5556445,0.0,0.0,0.0
1757563255.5699818,0.0,0.0,0.841
1757563255.5864215,0.0,0.0,2.256
1757563255.601419,0.0,0.0,2.584
1757563255.6185627,0.0,0.0,2.651
1757563255.6335797,0.0,0.0,2.655
1757563255.6506147,0.0,0.0,2.66
1757563255.6651068,0.0,0.0,2.641
1757563255.6812167,0.0,0.0,2.141
1757563255.6955066,0.0,0.0,0.995
1757563255.711957,0.0,0.0,0.0
1757563255.7580307,0.0,0.0,0.0
1757563255.8062396,0.0,0.0,0.0
1757563255.8525686,0.928,0.569,0.309
1757563255.8836136,0.773,1.554,1.679
1757563255.89945,0.0,1.221,1.437
1757563255.9137177,0.0,0.475,0.395
1757563255.930133,0.0,0.0,0.0
1757563255.9448242,0.0,0.0,0.0
1757563255.9616294,0.0,0.0,0.0
1757563255.9769392,0.0,0.0,0.0
1757563255.993631,0.0,0.477,0.0
1757563256.0089424,0.0,0.0,0.0
1757563256.025394,0.0,0.231,0.0
1757563256.0396583,0.0,0.186,0.0
1757563256.0561225,0.0,0.309,0.204
1757563256.0713904,0.0,0.291,0.057
1757563256.0880775,0.0,0.247,1.698
1757563256.1023858,0.0,0.214,2.062
1757563256.1188796,0.0,0.125,2.612
1757563256.1338384,0.0,0.013,2.588
1757563256.1506078,0.0,0.0,2.089
1757563256.1656063,0.0,0.0,1.509
1757563256.181692,0.0,0.0,0.488
1757563256.1968768,0.0,0.0,0.0
1757563256.2132487,0.0,0.0,0.0
1757563256.227446,0.0,0.0,0.0
1757563256.2442453,0.0,0.0,0.0
1757563256.2594411,0.0,0.0,0.0
1757563256.2755795,0.0,0.0,0.0
1757563256.2907827,0.0,0.0,0.0
1757563256.3071146,0.0,0.0,0.0
1757563256.3223178,0.0,0.0,0.0
1757563256.3390129,0.0,0.336,0.235
1757563256.3531787,0.0,1.266,1.214
1757563256.3693013,0.0,2.248,2.248
1757563256.3842857,0.0,2.249,2.256
1757563256.4008934,0.0,2.244,2.256
1757563256.4161646,0.0,2.043,2.164
1757563256.4316523,0.0,1.638,1.776
1757563256.4469197,0.0,0.081,0.247
1757563256.4636507,0.0,0.0,0.0
1757563256.478923,0.0,0.0,0.0
1757563256.5253608,0.0,0.0,0.0
1757563256.5569134,0.0,0.0,0.0
1757563256.5884335,0.0,0.158,0.155
1757563256.6201096,0.461,0.75,0.802
1757563256.6500664,1.173,1.16,1.198
1757563256.665109,1.441,1.44,1.409
1757563256.681073,1.224,1.119,1.183
1757563256.6956477,0.993,0.787,0.963
1757563256.7112715,0.57,0.418,0.525
1757563256.7264507,0.251,0.223,0.235
1757563256.743265,0.257,0.092,0.207
1757563256.75845,0.168,0.054,0.106
1757563256.7742703,0.179,0.036,0.097
1757563256.7894514,0.372,0.205,0.226
1757563256.8052423,0.441,0.318,0.36
1757563256.820283,0.774,0.492,0.653
1757563256.8372774,1.06,0.824,0.947
1757563256.8515253,1.106,0.932,0.991
1757563256.8682275,1.218,1.096,1.149
1757563256.88356,1.301,1.106,1.179
1757563256.9002707,1.32,1.173,1.237
1757563256.9146469,1.266,1.069,1.225
1757563256.931377,1.101,0.903,1.072
1757563256.946679,1.104,0.92,0.991
1757563256.9633777,0.881,0.757,0.86
1757563256.977685,0.711,0.533,0.668
1757563256.9943762,0.438,0.308,0.401
1757563257.0096517,0.377,0.166,0.295
1757563257.0254183,0.394,0.155,0.255
1757563257.0396552,0.305,0.105,0.207
1757563257.0557265,0.636,0.377,0.485
1757563257.0713696,0.812,0.615,0.718
1757563257.08785,0.835,0.733,0.783
1757563257.103161,0.949,0.81,0.877
1757563257.1192386,1.037,0.953,0.957
1757563257.134576,1.261,1.032,1.182
1757563257.151278,1.304,1.113,1.225
1757563257.1974761,1.328,1.132,1.237
1757563257.2440593,0.889,0.758,0.87
1757563257.2580774,0.364,0.237,0.312
1757563257.2745278,0.357,0.142,0.302
1757563257.2894874,0.387,0.286,0.349
1757563257.3044918,0.52,0.392,0.525
1757563257.319486,0.888,0.756,0.838
1757563257.3363044,1.102,1.033,1.048
1757563257.3515408,1.189,1.073,1.14
1757563257.3672638,1.222,1.121,1.225
1757563257.382567,1.266,1.094,1.268
1757563257.3990223,1.229,1.118,1.11
1757563257.4132805,1.081,0.922,1.019
1757563257.4296935,0.844,0.71,0.773
1757563257.4442282,0.616,0.504,0.571
1757563257.4609606,0.374,0.31,0.405
1757563257.4751768,0.367,0.326,0.297
1757563257.4919596,0.399,0.211,0.308
1757563257.507204,0.411,0.245,0.401
1757563257.5319242,0.412,0.257,0.333
1757563257.5617015,0.517,0.43,0.47
1757563257.5696645,0.323,0.288,0.271
1757563257.591741,1.058,0.894,0.982
1757563257.6007159,1.226,1.044,1.205
1757563257.6247468,1.323,1.168,1.198
1757563257.631757,1.264,1.045,1.215
1757563257.657796,1.048,0.986,1.071
1757563257.6657612,0.799,0.666,0.808
1757563257.6918154,1.131,1.056,1.174
1757563257.7228065,0.352,0.203,0.296
1757563257.736759,0.728,0.676,0.748
1757563257.7527566,1.112,0.962,1.007
1757563257.7588024,1.177,1.013,1.127
1757563257.7822037,0.373,0.156,0.322
1757563257.7928865,1.115,1.091,1.111
1757563257.8182693,0.327,0.204,0.325
1757563257.8265522,1.075,0.928,1.044
1757563257.852551,0.322,0.243,0.276
1757563257.8776777,1.16,0.984,1.152
1757563257.9132178,0.45,0.301,0.374
1757563257.9300818,0.761,0.71,0.718
1757563257.9451694,0.65,0.49,0.612
1757563257.9622257,0.581,0.437,0.515
1757563257.9771793,0.555,0.345,0.513
1757563258.005209,0.425,0.267,0.395
1757563258.0331817,0.974,0.889,0.941
1757563258.071483,0.643,0.595,0.595
1757563258.0932088,0.941,0.72,0.888
1757563258.1021826,0.586,0.484,0.45
1757563258.1191826,1.203,0.994,1.135
1757563258.134187,1.251,1.102,1.174
1757563258.156588,1.269,1.096,1.229
1757563258.1648586,0.999,0.861,0.993
1757563258.1808598,1.005,0.866,1.044
1757563258.196134,0.824,0.632,0.782
1757563258.2122655,0.643,0.473,0.583
1757563258.2272277,0.583,0.514,0.567
1757563258.2429903,0.48,0.336,0.49
1757563258.2582579,0.349,0.199,0.276
1757563258.274725,0.373,0.199,0.376
1757563258.2899668,0.555,0.302,0.412
1757563258.3064125,0.656,0.517,0.55
1757563258.321675,0.595,0.452,0.624
1757563258.4855595,0.8,0.624,0.734
1757563258.4855595,0.975,0.716,0.887
1757563258.4855595,1.035,0.932,0.967
1757563258.4855595,1.144,1.009,1.097
1757563258.4855595,1.237,1.05,1.135
1757563258.4855595,1.235,1.16,1.188
1757563258.4855595,1.076,0.966,1.057
1757563258.4855595,0.94,0.789,0.939
1757563258.5015178,0.694,0.517,0.702
1757563258.51856,0.386,0.204,0.355
1757563258.52958,1.21,1.03,1.15
1757563258.5885231,0.496,0.361,0.466
1757563258.6225812,0.584,0.484,0.469
1757563258.6745574,1.131,1.023,1.061
1757563258.705558,0.681,0.39,0.544
1757563258.7385204,1.252,1.024,1.221
1757563258.7675188,0.464,0.336,0.39
1757563258.8045237,0.878,0.695,0.824
1757563258.833559,1.148,0.982,1.048
1757563258.861561,0.921,0.69,0.841
1757563258.8915596,1.225,1.034,1.182
1757563258.9043136,0.686,0.606,0.721
1757563258.933338,1.02,0.941,1.029
1757563258.9613411,0.562,0.399,0.516
1757563258.9893422,1.166,1.13,1.152
1757563259.0153437,0.502,0.326,0.506
1757563259.031306,0.891,0.644,0.884
1757563259.0603442,0.774,0.66,0.769
1757563259.0773416,1.137,0.92,1.069
1757563259.117322,0.604,0.363,0.583
1757563259.145341,0.58,0.492,0.503
1757563259.1733425,1.156,1.07,1.185
1757563259.1733425,0.541,0.313,0.542
1757563259.1885521,0.782,0.67,0.741
1757563259.215573,0.966,0.884,0.941
1757563259.2445493,0.776,0.628,0.756
1757563259.27255,0.869,0.633,0.838
1757563259.299547,0.485,0.327,0.451
1757563259.314507,0.766,0.666,0.709
1757563259.34155,0.903,0.812,0.944
1757563259.3715186,0.762,0.648,0.689
1757563259.399548,0.762,0.592,0.749
1757563259.4275079,0.779,0.63,0.766
1757563259.4555492,1.168,1.027,1.135
1757563259.4555492,0.479,0.313,0.438
1757563259.4710577,0.811,0.641,0.761
1757563259.4980197,1.07,0.882,0.992
