timestamp,ch1,ch2,ch3
1757558053.4192517,0.0,0.0,0.0
1757558053.427732,0.0,0.0,0.0
1757558053.5146751,0.0,0.0,0.0
1757558053.5622683,0.0,0.0,0.0
1757558053.571272,0.0,0.0,0.0
1757558053.5826662,0.0,0.0,0.0
1757558053.6072652,0.0,0.0,0.0
1757558053.6272702,0.0,0.0,0.0
1757558053.6342688,0.0,0.0,0.0
1757558053.644667,0.0,0.0,0.0
1757558053.6678448,0.0,0.0,0.0
1757558053.6879382,0.0,0.0,0.0
1757558053.6952162,0.0,0.0,0.0
1757558053.7201176,0.0,0.0,0.0
1757558053.729695,0.0,0.0,0.0
1757558053.7517262,0.0,0.0,0.0
1757558053.7572484,0.0,0.0,0.0
1757558053.7844539,0.0,0.0,0.0
1757558053.790759,0.0,0.0,0.0
1757558053.8253388,0.0,0.0,0.0
1757558053.847897,0.0,0.0,0.0
1757558053.857414,0.0,0.0,0.0
1757558053.8764458,0.0,0.0,0.0
1757558053.8893437,0.0,0.0,0.0
1757558053.9144146,0.0,0.0,0.0
1757558053.9360225,0.0,0.0,0.0
1757558053.9512618,0.0,0.0,0.0
1757558053.973057,0.0,0.0,0.0
1757558053.981604,0.0,0.0,0.0
1757558053.9978247,0.0,0.0,0.0
1757558054.012434,0.0,0.0,0.0
1757558054.0292306,0.0,0.0,0.0
1757558054.0437043,0.0,0.0,0.0
1757558054.0599308,0.0,0.0,0.0
1757558054.075075,0.0,0.0,0.0
1757558054.0902154,0.0,0.0,0.0
1757558054.1063144,0.0,0.0,0.0
1757558054.1536922,0.0,0.0,0.0
1757558054.184988,0.0,0.0,0.0
1757558054.2147233,0.0,0.0,0.0
1757558054.230844,0.0,0.0,0.0
1757558054.2468631,0.0,0.0,0.0
1757558054.2623885,0.0,0.0,0.0
1757558054.2789364,0.0,0.0,0.0
1757558054.2935295,0.0,0.0,0.0
1757558054.3096302,0.0,0.0,0.0
1757558054.3251028,0.0,0.0,0.0
1757558054.3412998,0.0,0.0,0.0
1757558054.3564265,0.0,0.0,0.0
1757558054.3730726,0.0,0.0,0.0
1757558054.3872466,0.0,0.0,0.0
1757558054.4038363,0.0,0.0,0.0
1757558054.4180243,0.0,0.0,0.0
1757558054.435084,0.0,0.0,0.0
1757558054.4497051,0.0,0.0,0.0
1757558054.4654417,0.0,0.0,0.0
1757558054.4812472,0.0,0.0,0.0
1757558054.4964385,0.0,0.0,0.0
1757558054.512369,0.0,0.0,0.0
1757558054.5274246,0.0,0.0,0.0
1757558054.5434885,0.0,0.0,0.0
1757558054.560522,0.0,0.0,0.0
1757558054.5770469,0.0,0.0,0.0
1757558054.5913436,0.0,0.0,0.0
1757558054.6053915,0.0,0.0,0.0
1757558054.6210387,0.0,0.0,0.0
1757558054.636241,0.0,0.0,0.0
1757558054.6524644,0.0,0.0,0.0
1757558054.6700208,0.0,0.0,0.0
1757558054.683248,0.0,0.0,0.0
1757558054.7294526,0.0,0.0,0.0
1757558054.776293,0.0,0.0,0.0
1757558054.7900562,0.0,0.0,0.0
1757558054.8062344,0.0,0.0,0.0
1757558054.8218071,0.0,0.0,0.0
1757558054.8379543,0.0,0.0,0.0
1757558054.8525841,0.0,0.0,0.0
1757558054.8691287,0.0,0.0,0.0
1757558054.8840187,0.0,0.0,0.0
1757558054.9003625,0.0,0.0,0.0
1757558054.9152625,0.0,0.0,0.0
1757558054.9317398,0.0,0.0,0.0
1757558054.9469771,0.0,0.0,0.0
1757558054.9635742,0.0,0.0,0.0
1757558054.9776924,0.0,0.0,0.0
1757558054.9991179,0.0,0.0,0.0
1757558055.0094109,0.0,0.0,0.0
1757558055.0248163,0.0,0.0,0.0
1757558055.0399528,0.0,0.0,0.0
1757558055.0576243,0.0,0.0,0.0
1757558055.0722685,0.0,0.0,0.0
1757558055.08882,0.0,0.0,0.0
1757558055.1033654,0.0,0.0,0.0
1757558055.1193993,0.0,0.0,0.0
1757558055.1349163,0.0,0.0,0.0
1757558055.150955,0.0,0.0,0.0
1757558055.164974,0.0,0.0,0.0
1757558055.181085,0.0,0.0,0.0
1757558055.1960163,0.0,0.0,0.0
1757558055.2125823,0.0,0.0,0.0
1757558055.2277336,0.0,0.0,0.0
1757558055.2433376,0.0,0.0,0.0
1757558055.2583709,0.0,0.0,0.0
1757558055.3047857,0.0,0.0,0.0
1757558055.3512719,0.0,0.0,0.0
1757558055.3824885,0.0,0.0,0.0
1757558055.3986402,0.0,0.0,0.0
1757558055.4132617,0.0,0.0,0.0
1757558055.429344,0.0,0.0,0.0
